statenum,casenum,vnumber,pnumber,city,heavytruck,body,cargo,gvwrating,mcinnnum,regstate,vconfig,vin,make,model,modelyr,feet,contribcirc
24,286,1,4,0,1,4,0,0,0,36,0,1HGEJ6674WL0,37,31,1998,5,0
24,315,1,1,0,1,66,1,3,777777777,36,6,1FUJGLBG3FLG,82,881,2015,6,0
24,403,1,1,0,1,66,1,3,2099831,36,6,3AKJGLD59GSG,82,881,2016,6,2
25,230,1,1,210,0,4,0,0,0,36,0,JHMEJ650XWS8,37,31,1998,5,98
25,230,1,2,210,0,4,0,0,0,36,0,JHMEJ650XWS8,37,31,1998,5,98
25,230,1,3,210,0,4,0,0,0,36,0,JHMEJ650XWS8,37,31,1998,5,98
27,142,1,1,4810,0,80,0,0,0,36,0,1HD1FRW132Y6,72,706,2002,6,0
33,14,1,1,120,0,4,0,0,0,36,0,1HGCP2F31AA0,37,32,2010,5,0
33,56,1,1,395,0,99,0,0,0,36,0,1E+12,99,999,9999,9,98
33,100,4,1,218,0,14,0,0,0,36,0,5N1AR1NB8CC6,35,401,2012,5,0
34,28,1,1,1993,0,4,0,0,0,36,0,1G4CU5210W46,18,3,1998,5,0
34,73,1,1,18,0,6,0,0,0,36,0,JM3TB3CV3C03,41,54,2012,5,0
34,112,2,1,2942,0,4,0,0,0,36,0,4T1BF3EK5AU1,49,40,2010,5,0
34,198,1,1,660,0,80,0,0,0,36,0,JYARJ16E88A0,76,705,2008,9,0
34,200,2,1,3370,0,5,0,0,0,36,0,JTDKN3DU8C15,49,46,2012,5,0
34,200,2,2,3370,0,5,0,0,0,36,0,JTDKN3DU8C15,49,46,2012,5,0
34,207,1,1,3370,0,14,0,0,0,36,0,JTJHW31U0600,59,403,2006,5,0
34,217,1,1,2510,0,58,22,8,888888888,36,21,1E+12,98,981,2009,5,0
34,226,1,1,2700,0,4,0,0,0,36,0,1N4AA6AP4GC4,35,39,2016,5,0
34,226,1,2,2700,0,4,0,0,0,36,0,1N4AA6AP4GC4,35,39,2016,5,0
34,226,1,3,2700,0,4,0,0,0,36,0,1N4AA6AP4GC4,35,39,2016,5,0
34,226,1,4,2700,0,4,0,0,0,36,0,1N4AA6AP4GC4,35,39,2016,5,0
34,239,1,1,1505,0,4,0,0,0,36,0,JTHBK1GG1D20,59,31,2013,6,0
34,239,1,2,1505,0,4,0,0,0,36,0,JTHBK1GG1D20,59,31,2013,6,0
34,241,1,1,3730,0,4,0,0,0,36,0,1G1JF5242172,20,16,2001,5,0
34,268,1,1,0,0,4,0,0,0,36,0,1HGCR2F79DA0,37,32,2013,9,0
34,268,1,2,0,0,4,0,0,0,36,0,1HGCR2F79DA0,37,32,2013,9,0
34,268,1,3,0,0,4,0,0,0,36,0,1HGCR2F79DA0,37,32,2013,9,0
34,268,1,4,0,0,4,0,0,0,36,0,1HGCR2F79DA0,37,32,2013,9,0
34,275,1,1,0,0,4,0,0,0,36,0,3FAHP0HA0AR4,12,23,2010,5,0
34,275,1,2,0,0,4,0,0,0,36,0,3FAHP0HA0AR4,12,23,2010,5,0
34,275,1,3,0,0,4,0,0,0,36,0,3FAHP0HA0AR4,12,23,2010,5,0
34,285,2,1,860,1,4,0,0,0,36,0,19UUA9F56CA0,54,35,2012,9,0
34,328,1,1,630,0,2,0,0,0,36,0,KMHDH6AE4DU0,55,35,2013,5,0
34,328,1,2,630,0,2,0,0,0,36,0,KMHDH6AE4DU0,55,35,2013,5,0
34,328,1,3,630,0,2,0,0,0,36,0,KMHDH6AE4DU0,55,35,2013,5,0
34,328,1,4,630,0,2,0,0,0,36,0,KMHDH6AE4DU0,55,35,2013,5,0
34,341,1,1,190,0,31,0,0,0,36,0,2GCEK19J0813,20,481,2008,9,0
34,350,1,1,1750,0,15,0,0,0,36,0,5FNYF48449B0,37,421,2009,9,0
34,350,1,2,1750,0,15,0,0,0,36,0,5FNYF48449B0,37,421,2009,9,0
34,350,1,3,1750,0,15,0,0,0,36,0,5FNYF48449B0,37,421,2009,9,0
34,350,1,4,1750,0,15,0,0,0,36,0,5FNYF48449B0,37,421,2009,9,0
34,350,2,1,1750,0,2,0,0,0,36,0,2HGFG3B02DH5,37,31,2013,9,0
34,350,2,2,1750,0,2,0,0,0,36,0,2HGFG3B02DH5,37,31,2013,9,0
34,411,2,1,3335,0,4,0,0,0,36,0,2HGES16552H5,37,31,2002,.,0
34,414,1,1,210,0,4,0,0,0,36,0,YV1RS61R7221,51,47,2002,5,0
34,414,1,2,210,0,4,0,0,0,36,0,YV1RS61R7221,51,47,2002,5,0
34,414,2,1,210,0,4,0,0,0,36,0,1N4BL2AP3AN4,35,47,2010,6,0
34,414,2,2,210,0,4,0,0,0,36,0,1N4BL2AP3AN4,35,47,2010,6,0
34,430,1,1,1430,0,15,0,0,0,36,0,1GYUKBEF9AR2,19,421,2010,5,0
34,440,1,1,425,0,20,0,0,0,36,0,5TDZA23C14S0,49,442,2004,.,0
34,521,1,1,3526,0,80,0,0,0,36,0,JH2PC40027M0,37,705,2007,5,0
34,560,1,1,740,0,5,0,0,0,36,0,JTDKDTB38C10,49,46,2012,5,0
34,562,4,1,820,0,6,0,0,0,36,0,2LMHJ5NK7DBL,13,16,2013,9,.
36,1,1,1,472,0,15,0,0,0,36,0,4JGBF71E68A2,42,421,2008,5,0
36,1,1,2,472,0,15,0,0,0,36,0,4JGBF71E68A2,42,421,2008,5,0
36,1,1,3,472,0,15,0,0,0,36,0,4JGBF71E68A2,42,421,2008,5,0
36,2,1,1,4170,0,4,0,0,0,36,0,WBAGN63494DS,34,37,2004,9,0
36,2,1,2,4170,0,4,0,0,0,36,0,WBAGN63494DS,34,37,2004,9,0
36,3,1,1,4130,0,30,0,0,0,36,0,1FTZR15X1YTA,12,471,2000,5,0
36,4,1,1,160,0,4,0,0,0,36,0,5NPEB4AC3DH7,55,33,2013,5,0
36,4,1,2,160,0,4,0,0,0,36,0,5NPEB4AC3DH7,55,33,2013,5,0
36,6,1,1,970,0,20,0,0,0,36,0,KNDUP1312466,63,441,2004,5,0
36,7,1,1,4170,0,4,0,0,0,36,0,4T1BF3EK4BU1,49,40,2011,5,0
36,8,3,1,4170,0,14,0,0,0,36,0,5UXFE43529L2,34,401,2009,5,0
36,8,3,2,4170,0,14,0,0,0,36,0,5UXFE43529L2,34,401,2009,5,0
36,8,3,3,4170,0,14,0,0,0,36,0,5UXFE43529L2,34,401,2009,5,0
36,8,3,4,4170,0,14,0,0,0,36,0,5UXFE43529L2,34,401,2009,5,0
36,9,1,1,3490,0,31,0,0,0,36,0,1GCNCPEA8BF1,20,481,2011,5,0
36,10,1,1,5550,0,4,0,0,0,36,0,WBAEU33463PF,34,34,2003,5,97
36,11,1,1,5810,0,52,22,3,999999999,36,21,1VHFF3G28A67,98,907,2010,6,0
36,11,2,1,5810,0,14,0,0,0,36,0,1GNDT13S1223,20,401,2002,9,0
36,12,1,1,142,1,61,1,2,261956,36,1,1GB3G4CG7D11,20,870,2013,6,0
36,12,2,1,142,1,14,0,0,0,36,0,2HKRM4H3XDH6,37,402,2013,5,0
36,12,2,2,142,1,14,0,0,0,36,0,2HKRM4H3XDH6,37,402,2013,5,0
36,13,1,1,410,0,31,0,0,0,36,0,3C63R3GL1DG6,7,482,2013,5,0
36,14,1,1,1590,0,31,0,0,0,36,0,1D7HG48N84S5,7,482,2004,6,0
36,14,1,2,1590,0,31,0,0,0,36,0,1D7HG48N84S5,7,482,2004,6,0
36,15,1,1,2000,0,80,0,0,0,36,0,1HD1BNY165Y0,72,706,2005,6,0
36,15,2,1,2000,0,21,0,0,0,36,0,1FTRE14W36DA,12,461,2006,6,0
36,16,1,1,4170,0,4,0,0,0,36,0,4T1BE46K79U2,49,40,2009,6,0
36,17,1,1,5650,0,14,0,0,0,36,0,1E+12,49,402,2003,5,0
36,17,2,1,5650,0,31,0,0,0,36,0,1GTEK19TX2E2,23,481,2002,6,0
36,18,1,1,4170,1,63,1,3,999999999,36,2,1M2AX04C3AM0,86,881,2010,5,0
36,19,1,1,4170,0,15,0,0,0,36,0,1GNSKCKC4FR1,20,421,2015,5,0
36,19,2,1,4170,0,4,0,0,0,36,0,JNKAY01E07M3,58,38,2007,5,0
36,19,2,2,4170,0,4,0,0,0,36,0,JNKAY01E07M3,58,38,2007,5,0
36,20,2,1,1899,1,21,0,0,0,36,0,1GDZ7UCL9B11,23,461,2011,5,0
36,20,2,2,1899,1,21,0,0,0,36,0,1GDZ7UCL9B11,23,461,2011,5,0
36,20,2,3,1899,1,21,0,0,0,36,0,1GDZ7UCL9B11,23,461,2011,5,0
36,21,1,1,4170,0,80,0,0,0,36,0,ZDM1RC4N4XB0,71,706,1999,5,0
36,25,1,1,790,0,15,0,0,0,36,0,1GKS2CE03CR1,23,421,2012,6,0
36,27,1,1,4170,0,80,0,0,0,36,0,JKAEXEA128A0,73,709,2008,5,0
36,27,2,1,4170,0,14,0,0,0,36,0,5NMSG13D28H1,55,401,2008,5,0
36,28,1,1,4170,0,4,0,0,0,36,0,1HGFA165X8L0,37,31,2008,5,0
36,30,1,1,5802,0,30,0,0,0,36,0,5TELU42N18Z5,49,472,2008,6,0
36,30,2,1,5802,0,14,0,0,0,36,0,1FM5K8F83DGA,12,401,2013,5,0
36,31,1,1,4090,0,4,0,0,0,36,0,KMHDN46D55U1,55,35,2005,5,0
36,32,1,1,5280,0,31,0,0,0,36,0,1B7HC16Y1TS6,7,482,1996,6,0
36,32,1,2,5280,0,31,0,0,0,36,0,1B7HC16Y1TS6,7,482,1996,6,0
36,33,1,1,4060,0,14,0,0,0,36,0,2T3DF4DV0CW2,49,402,2012,5,0
36,34,1,1,3064,1,4,0,0,0,36,0,1G1AF5F56A71,20,22,2010,6,0
36,34,2,1,3064,1,21,0,0,0,36,0,1GTGG25V0419,23,461,2004,5,0
36,34,2,2,3064,1,21,0,0,0,36,0,1GTGG25V0419,23,461,2004,5,0
36,34,3,1,3064,1,66,1,3,2309350,36,6,1XKWDB9X65J0,85,884,2005,5,0
36,35,1,1,4170,0,4,0,0,0,36,0,WDDSJ4EB9EN1,42,54,2014,5,0
36,36,1,1,4170,1,63,5,3,1884498,36,2,1M2B209C63M0,86,881,2003,5,0
36,37,1,1,2770,0,31,0,0,0,36,0,1FTRF3BT0FEC,12,481,2015,6,0
36,38,1,1,5260,0,4,0,0,0,36,0,2G4WD5828711,18,22,2007,5,0
36,39,1,1,4980,0,14,0,0,0,36,0,1FMZU73K72ZD,12,401,2002,9,0
36,40,1,1,2120,0,20,0,0,0,36,0,2FMZA52403BB,12,442,2003,5,0
36,41,1,1,2675,0,14,0,0,0,36,0,2HKRM4H3XEH6,37,402,2014,5,0
36,42,1,1,710,0,4,0,0,0,36,0,JTDBU4EE6B91,49,32,2011,6,0
36,42,2,1,710,0,4,0,0,0,36,0,WAUBFAFL4EN0,32,43,2014,5,0
36,43,1,1,1440,0,4,0,0,0,36,0,KMHDU46D48U4,55,35,2008,5,0
36,44,1,1,6360,0,4,0,0,0,36,0,2MEFM75W8XX6,14,6,1999,5,0
36,44,1,2,6360,0,4,0,0,0,36,0,2MEFM75W8XX6,14,6,1999,5,0
36,46,1,1,4350,0,4,0,0,0,36,0,1G6KD57Y96U1,19,22,2006,5,0
36,47,1,1,406,0,30,0,0,0,36,0,1FTYR15E33TA,12,471,2003,5,0
36,48,1,1,1961,0,4,0,0,0,36,0,1LNFM82W2WY6,13,1,1998,5,0
36,48,2,1,1961,0,31,0,0,0,36,0,1GC1KWE82FF6,20,481,2015,5,0
36,49,1,1,5550,0,14,0,0,0,36,0,JF1SG66638H7,48,401,2008,5,0
36,50,1,1,4980,0,2,0,0,0,36,0,WAUCVAFR0BA0,32,52,2011,5,0
36,51,1,1,4170,0,4,0,0,0,36,0,1G4CW52KXX46,18,3,1999,5,0
36,52,1,1,6740,0,14,0,0,0,36,0,1FMYU92Z95KA,12,402,2005,5,0
36,52,1,2,6740,0,14,0,0,0,36,0,1FMYU92Z95KA,12,402,2005,5,0
36,52,1,3,6740,0,14,0,0,0,36,0,1FMYU92Z95KA,12,402,2005,5,0
36,53,1,1,156,0,4,0,0,0,36,0,1G1PC5SH5B71,20,25,2011,5,0
36,54,1,1,4170,0,4,0,0,0,36,0,WBSPM93579E2,34,34,2009,6,0
36,55,1,1,2600,0,6,0,0,0,36,0,JN8AS5MVXDW6,35,51,2013,6,0
36,56,1,1,4445,0,4,0,0,0,36,0,JA3AU26U08U0,52,46,2008,6,0
36,56,1,2,4445,0,4,0,0,0,36,0,JA3AU26U08U0,52,46,2008,6,0
36,57,1,1,610,1,4,0,0,0,36,0,3N1AB61E59L6,35,43,2009,5,0
36,57,2,1,610,1,62,1,2,1736462,36,1,1FVACWCS67HX,82,881,2007,5,0
36,58,1,1,4170,0,21,0,0,0,36,0,1FBSS31S75HA,12,461,2005,5,0
36,59,1,1,3840,0,20,0,0,0,36,0,1D4GP24R15B3,7,442,2005,5,0
36,59,1,2,3840,0,20,0,0,0,36,0,1D4GP24R15B3,7,442,2005,5,0
36,59,1,3,3840,0,20,0,0,0,36,0,1D4GP24R15B3,7,442,2005,5,0
36,59,1,4,3840,0,20,0,0,0,36,0,1D4GP24R15B3,7,442,2005,5,0
36,60,1,1,4170,0,4,0,0,0,36,0,1N4AL11E56N3,35,47,2006,5,0
36,61,1,1,4170,0,50,22,9,888888888,36,21,1BAKFCKA79F2,90,981,2009,5,0
36,62,1,1,4170,1,62,1,2,999999999,36,1,3FRNF6HDXFV7,12,881,2015,5,0
36,63,1,1,1950,0,15,0,0,0,36,0,1C4RJFBG6FC8,2,422,2015,5,0
36,63,2,1,1950,0,4,0,0,0,36,0,1G2HY54K5141,22,2,2001,5,0
36,64,1,1,5230,0,14,0,0,0,36,0,1C4AJWAG7EL2,2,403,2014,5,0
36,64,2,1,5230,0,4,0,0,0,36,0,3HGCM56465G7,37,32,2005,5,0
36,64,2,2,5230,0,4,0,0,0,36,0,3HGCM56465G7,37,32,2005,5,0
36,66,1,1,4600,0,4,0,0,0,36,0,1N4AL3AP1DN4,35,47,2013,5,0
36,67,1,1,1195,0,14,0,0,0,36,0,1GNDT13X34K1,20,403,2004,5,0
36,67,1,2,1195,0,14,0,0,0,36,0,1GNDT13X34K1,20,403,2004,5,0
36,68,1,1,389,1,14,0,0,0,36,0,5LMEU68H84ZJ,13,401,2004,5,0
36,68,2,1,389,1,66,1,3,693923,36,6,3AKBGBD43DSF,82,881,2013,5,0
36,69,1,1,4170,1,63,3,3,999999999,36,2,2FZNRJCB8YAB,98,809,2000,5,0
36,69,1,2,4170,1,63,3,3,999999999,36,2,2FZNRJCB8YAB,98,809,2000,5,0
36,71,1,1,2460,0,4,0,0,0,36,0,JM1FE1736401,41,49,2004,5,0
