statenum,casenum,vnumber,pnumber,city,heavytruck,numfatal,body,cargo,gvwrating,mcinnnum,regstate,vin,make,model,modelyr,contribcirc
,,,,,,,,,,,,,,,,
4,444,1,1,373,0,1,1,0,0,0,36,1ZVFT84N0651,12,3,2006,0
6,370,1,1,1880,0,1,80,0,0,0,36,JH2PC37195M2,37,705,2005,0
6,1262,1,1,3260,0,1,4,0,0,0,36,1C3CDFBB4FD1,7,29,2015,0
6,1262,1,2,3260,0,1,4,0,0,0,36,1C3CDFBB4FD1,7,29,2015,0
8,136,1,1,0,1,3,61,1,2,251050,36,JALE5W161D79,38,882,2013,0
8,136,1,2,0,1,3,61,1,2,251050,36,JALE5W161D79,38,882,2013,0
8,136,1,3,0,1,3,61,1,2,251050,36,JALE5W161D79,38,882,2013,0
9,2,1,1,256,0,1,3,0,0,0,36,4A3AC44G21E1,52,37,2001,0
9,36,1,1,426,0,1,2,0,0,0,36,19XFB2F84CE3,37,31,2012,0
9,76,1,1,326,0,1,80,0,0,0,36,WB1053407EZ3,34,706,2014,0
9,96,2,1,790,0,1,4,0,0,0,36,3N1AB6AP2CL6,35,43,2012,0
9,96,2,2,790,0,1,4,0,0,0,36,3N1AB6AP2CL6,35,43,2012,0
9,96,2,3,790,0,1,4,0,0,0,36,3N1AB6AP2CL6,35,43,2012,0
9,113,2,1,280,0,1,80,0,0,0,36,JYARN23E9DA0,76,706,2013,0
9,121,2,1,450,0,1,4,0,0,0,36,WAUFFAFL9FN0,32,43,2015,0
9,121,2,2,450,0,1,4,0,0,0,36,WAUFFAFL9FN0,32,43,2015,0
9,140,2,1,510,0,1,22,0,0,0,36,1FTNE24W98DA,12,461,2008,0
9,140,2,2,510,0,1,22,0,0,0,36,1FTNE24W98DA,12,461,2008,0
9,197,1,1,380,1,1,63,1,3,777777777,36,3HAMMMML2GL0,84,881,2016,0
9,197,1,2,380,1,1,63,1,3,777777777,36,3HAMMMML2GL0,84,881,2016,0
9,208,1,1,265,0,1,30,0,0,0,36,1FTKR1ADXAPA,12,471,2010,0
9,208,1,2,265,0,1,30,0,0,0,36,1FTKR1ADXAPA,12,471,2010,0
9,213,1,1,790,0,1,21,0,0,0,36,1FTJS34HXSHA,12,461,1995,0
9,241,1,1,536,0,1,15,0,0,0,36,3GKFK16TX1G1,23,421,2001,0
9,241,1,2,536,0,1,15,0,0,0,36,3GKFK16TX1G1,23,421,2001,0
9,241,1,3,536,0,1,15,0,0,0,36,3GKFK16TX1G1,23,421,2001,0
9,241,1,4,536,0,1,15,0,0,0,36,3GKFK16TX1G1,23,421,2001,0
9,242,2,1,170,0,1,5,0,0,0,36,3N1BC1CP2CK2,35,50,2012,0
9,247,1,1,655,0,1,31,0,0,0,36,1D7GG16X03S2,7,472,2003,0
9,249,1,1,584,0,1,4,0,0,0,36,JN1DA31D62T4,35,39,2002,0
9,252,1,1,430,0,1,82,0,0,0,36,57XAASFA4F51,98,705,2015,0
9,252,1,2,430,0,1,82,0,0,0,36,57XAASFA4F51,98,705,2015,0
9,253,1,1,715,0,2,14,0,0,0,36,1J4GL48KX4W1,2,405,2004,0
9,253,1,2,715,0,2,14,0,0,0,36,1J4GL48KX4W1,2,405,2004,0
9,255,2,1,450,0,1,14,0,0,0,36,JTMDF4DV3AD0,49,401,2010,0
10,17,3,1,360,1,1,4,0,0,0,36,3VWXJ71KX6M7,30,40,2006,0
10,107,1,1,85,0,1,4,0,0,0,36,1LNHL9EK7FG6,13,15,2015,99
12,105,1,1,0,0,1,4,0,0,0,36,4T1BG22K3XU5,49,40,1999,0
12,105,1,2,0,0,1,4,0,0,0,36,4T1BG22K3XU5,49,40,1999,0
12,253,3,1,0,0,1,4,0,0,0,36,2C3CCAEG6EH3,6,51,2014,0
12,253,3,2,0,0,1,4,0,0,0,36,2C3CCAEG6EH3,6,51,2014,0
12,279,1,1,0,0,1,31,0,0,0,36,1FTSW21529EB,12,481,2009,0
12,279,1,2,0,0,1,31,0,0,0,36,1FTSW21529EB,12,481,2009,0
12,307,2,1,0,1,2,14,0,0,0,36,2GNFLGEK9D64,20,404,2013,0
12,307,2,2,0,1,2,14,0,0,0,36,2GNFLGEK9D64,20,404,2013,0
12,505,1,1,0,0,1,80,0,0,0,36,1HD1FRW112Y6,72,706,2002,0
12,754,1,1,0,0,1,4,0,0,0,36,KMHGC4DD7CU1,55,41,2012,0
12,875,1,1,0,0,1,21,0,0,0,36,1FTNE24L12HB,12,461,2002,0
12,2678,1,1,2010,0,1,20,0,0,0,36,1GNEL19W9XB1,20,441,1999,0
13,253,1,1,0,0,1,6,0,0,0,36,JN8AZ28R39T1,35,52,2009,0
13,292,1,1,3440,0,1,2,0,0,0,36,2G1FA1E33E92,20,9,2014,0
13,292,1,2,3440,0,1,2,0,0,0,36,2G1FA1E33E92,20,9,2014,0
13,292,1,3,3440,0,1,2,0,0,0,36,2G1FA1E33E92,20,9,2014,0
21,100,2,1,0,1,1,4,0,0,0,36,4S3BL6161972,48,34,2009,0
21,100,2,2,0,1,1,4,0,0,0,36,4S3BL6161972,48,34,2009,0
21,100,2,3,0,1,1,4,0,0,0,36,4S3BL6161972,48,34,2009,0
23,57,2,1,5725,0,1,15,0,0,0,36,5FNYF18435B0,37,421,2005,0
23,57,2,2,5725,0,1,15,0,0,0,36,5FNYF18435B0,37,421,2005,0
23,57,2,3,5725,0,1,15,0,0,0,36,5FNYF18435B0,37,421,2005,0
24,316,2,1,0,1,1,66,3,3,2583113,36,1M1AK07Y15N0,86,881,2005,0
24,316,2,2,0,1,1,66,3,3,2583113,36,1M1AK07Y15N0,86,881,2005,0
24,348,1,1,0,0,1,58,22,3,2569504,36,YE2TC12B3120,98,908,2001,0
25,38,2,1,1172,0,1,14,0,0,0,36,4JGDA5HB3EA3,42,401,2014,11
25,38,2,2,1172,0,1,14,0,0,0,36,4JGDA5HB3EA3,42,401,2014,11
25,60,1,1,630,1,1,63,3,3,777777777,36,2HSCHAPR67C3,84,881,2007,0
25,92,1,1,580,0,1,14,0,0,0,36,2CTFLDEY5A62,23,402,2010,0
25,207,2,1,925,0,1,4,0,0,0,36,W04GN5EC2B11,18,19,2011,0
28,304,1,1,0,0,1,31,0,0,0,36,1FTRW07323KB,12,481,2003,0
29,15,2,1,0,1,2,66,1,3,336018,36,1XP5DB9XX6N8,87,881,2006,0
29,15,2,2,0,1,2,66,1,3,336018,36,1XP5DB9XX6N8,87,881,2006,0
33,85,1,1,5,0,2,14,0,0,0,36,KNDJC733X351,63,402,2003,0
33,103,2,1,472,0,1,14,0,0,0,36,1C4PJMAB9FW6,2,404,2015,0
34,13,1,1,0,0,1,4,0,0,0,36,1HGCR2F55DA2,37,32,2013,0
34,13,1,2,0,0,1,4,0,0,0,36,1HGCR2F55DA2,37,32,2013,0
34,44,2,1,1795,0,1,4,0,0,0,36,4S4BRBLC4B33,48,45,2011,0
34,80,1,1,2617,0,1,14,0,0,0,36,JM3KE4CY1F04,41,403,2015,0
34,80,1,2,2617,0,1,14,0,0,0,36,JM3KE4CY1F04,41,403,2015,0
34,113,1,1,3511,0,1,4,0,0,0,36,4S4BP61C7573,48,45,2005,1
34,122,1,1,3040,1,1,66,3,3,1505033,36,1XKDDB9XX6J1,85,881,2006,15
34,153,2,1,704,0,2,4,0,0,0,36,2C3HD46R71H6,6,41,2001,0
34,153,2,2,704,0,2,4,0,0,0,36,2C3HD46R71H6,6,41,2001,0
34,166,2,1,1590,0,1,31,0,0,0,36,3GCUKREC6FG1,20,481,2015,0
34,166,2,2,1590,0,1,31,0,0,0,36,3GCUKREC6FG1,20,481,2015,0
34,166,2,3,1590,0,1,31,0,0,0,36,3GCUKREC6FG1,20,481,2015,0
34,166,2,4,1590,0,1,31,0,0,0,36,3GCUKREC6FG1,20,481,2015,0
34,166,2,5,1590,0,1,31,0,0,0,36,3GCUKREC6FG1,20,481,2015,0
34,184,2,1,2940,1,1,14,0,0,0,36,5J6RM4H78EL0,37,402,2014,0
34,187,1,1,860,0,1,21,0,0,0,36,1FTSS34L87DA,12,461,2007,0
34,187,1,2,860,0,1,21,0,0,0,36,1FTSS34L87DA,12,461,2007,0
34,225,1,1,1430,0,1,21,0,0,0,36,1FTYR2CM2FKA,12,462,2015,0
34,244,5,1,704,1,1,58,22,3,2378797,36,YE2CC16B4520,98,908,2005,0
34,244,16,1,704,1,1,31,0,0,0,36,1FT8W3DT4DEA,12,481,2013,0
34,244,16,2,704,1,1,31,0,0,0,36,1FT8W3DT4DEA,12,481,2013,0
34,244,17,1,704,1,1,66,1,3,431890,36,4V4NC9EG2FN1,51,881,2015,0
34,244,18,1,704,1,1,4,0,0,0,36,1NXBU4EE9AZ3,49,32,2010,0
34,244,18,2,704,1,1,4,0,0,0,36,1NXBU4EE9AZ3,49,32,2010,0
34,267,1,1,3160,0,2,4,0,0,0,36,1G4AG55M8T64,18,7,1996,0
34,267,1,2,3160,0,2,4,0,0,0,36,1G4AG55M8T64,18,7,1996,0
34,302,1,1,2130,0,1,21,0,0,0,36,WDYPF3CCXE58,82,461,2014,0
34,307,4,1,3600,0,1,4,0,0,0,36,4T1BK1EB8FU1,49,43,2015,0
34,307,4,2,3600,0,1,4,0,0,0,36,4T1BK1EB8FU1,49,43,2015,0
34,323,1,1,0,0,1,14,0,0,0,36,JTMZD33V4660,49,402,2006,0
34,323,1,2,0,0,1,14,0,0,0,36,JTMZD33V4660,49,402,2006,0
34,323,1,3,0,0,1,14,0,0,0,36,JTMZD33V4660,49,402,2006,0
34,332,1,1,3522,0,2,14,0,0,0,36,5J6RE48708L0,37,402,2008,0
34,332,1,2,3522,0,2,14,0,0,0,36,5J6RE48708L0,37,402,2008,0
34,332,1,3,3522,0,2,14,0,0,0,36,5J6RE48708L0,37,402,2008,0
34,365,2,1,1832,1,1,66,1,3,777777777,36,4V4MC9EG7FN9,51,898,2015,0
34,390,1,1,3633,0,1,5,0,0,0,36,1FADP3K26FL3,12,37,2015,0
34,390,1,2,3633,0,1,5,0,0,0,36,1FADP3K26FL3,12,37,2015,0
34,390,1,3,3633,0,1,5,0,0,0,36,1FADP3K26FL3,12,37,2015,0
34,428,1,1,0,0,3,15,0,0,0,36,1C4RJFCG2FC7,2,422,2015,0
34,428,1,2,0,0,3,15,0,0,0,36,1C4RJFCG2FC7,2,422,2015,0
34,429,1,1,3504,0,2,2,0,0,0,36,1HGCM82693A0,37,32,2003,0
34,429,1,2,3504,0,2,2,0,0,0,36,1HGCM82693A0,37,32,2003,0
34,499,2,1,1520,0,1,40,1,2,888888888,36,1GDJ7F1B59F4,23,481,2009,0
34,521,1,1,3705,0,1,15,0,0,0,36,5FRYD4H49EB0,54,421,2014,0
34,522,2,1,1520,1,1,64,1,9,888888888,36,1E+12,98,806,2012,0
34,522,2,2,1520,1,1,64,1,9,888888888,36,1E+12,98,806,2012,0
